1001;Arroz;75,86
1002;Arroz;93,07
1003;Queso;97,47
1004;Cafe;4,97
1005;Te;81,10
1006;Arroz;52,26
1007;Azucar;5,87
1008;Cafe;48,58
1009;Azucar;74,52
1010;Mantequilla;11,31
1011;Cafe;88,38
1012;Te;79,26
1013;Cafe;26,45
1014;Cafe;8,30
1015;Queso;13,97
1016;Mantequilla;89,06
1017;Mantequilla;25,44
1018;Pan;61,67
1019;Yogur;30,06
1020;Yogur;34,89
1021;Pan;59,45
1022;Arroz;18,12
1023;Te;26,15
1024;Queso;59,75
1025;Cafe;25,27
1026;Azucar;24,83
1027;Yogur;90,67
1028;Leche;2,71
1029;Leche;3,18
1030;Azucar;82,89
1031;Azucar;91,32
1032;Arroz;34,43
1033;Jugo;63,19
1034;Leche;73,80
1035;Mantequilla;72,94
1036;Queso;23,73
1037;Te;86,21
1038;Arroz;73,13
1039;Jugo;32,13
1040;Pan;50,28
